"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Clean up by closing the browser page.","18956","Navigation Bar Test","chromium","Sat Aug 23 03:30:31 EEST 2025","passed","Sat Aug 23 03:30:50 EEST 2025","STAGING Guest user front-end test","","",""
"","23782","Verify search functionality","chromium","Tue May 13 18:31:26 EEST 2025","passed","Tue May 13 18:31:50 EEST 2025","PACTION Guest user front-end test","Paction\PACTION_automatedTest.spec.js","",""
"","12780","My Library area Test","chromium","Tue May 13 18:33:46 EEST 2025","passed","Tue May 13 18:33:59 EEST 2025","PACTION Librarian user front-end test","Paction\PACTION_automatedTest.spec.js","",""
"","69711","Verify journal pages accessibility","chromium","Tue May 13 18:57:57 EEST 2025","passed","Tue May 13 18:59:07 EEST 2025","Guest user front-end test","Meiner\MEINER_autoamtedTest.spec.js","",""
"","18743","Reset password Test","chromium","Tue May 13 18:32:08 EEST 2025","passed","Tue May 13 18:32:27 EEST 2025","PACTION Guest user front-end test","Paction\PACTION_automatedTest.spec.js","",""
"","70267","Verify homepage elements and links","chromium","Wed May 14 13:29:15 EEST 2025","passed","Wed May 14 13:30:25 EEST 2025","Guest user front-end test","Meiner\MEINER_autoamtedTest.spec.js","",""
"","35616","IP Address authentication TESt","chromium","Tue May 13 18:32:28 EEST 2025","passed","Tue May 13 18:33:04 EEST 2025","PACTION Guest user front-end test","Paction\PACTION_automatedTest.spec.js","",""
"","13564","Verify homepage elements and interactions","chromium","Tue May 13 18:30:02 EEST 2025","passed","Tue May 13 18:30:16 EEST 2025","PACTION Guest user front-end test","Paction\PACTION_automatedTest.spec.js","",""
"","16078","Verify authors and editors page","chromium","Tue May 13 18:31:52 EEST 2025","passed","Tue May 13 18:32:08 EEST 2025","PACTION Guest user front-end test","Paction\PACTION_automatedTest.spec.js","",""
"","15726","Verify language change functionality","chromium","Tue May 13 18:57:24 EEST 2025","passed","Tue May 13 18:57:40 EEST 2025","Guest user front-end test","Meiner\MEINER_autoamtedTest.spec.js","",""
"","31316","Search as librarian test","chromium","Tue May 13 18:34:38 EEST 2025","passed","Tue May 13 18:35:10 EEST 2025","PACTION Librarian user front-end test","Paction\PACTION_automatedTest.spec.js","",""
"","16698","Read Download Books","chromium","Tue May 13 18:34:21 EEST 2025","passed","Tue May 13 18:34:37 EEST 2025","PACTION Librarian user front-end test","Paction\PACTION_automatedTest.spec.js","",""
"Clean up by closing the browser page.","13801","Homepage Layout Test","chromium","Sat Aug 23 03:21:21 EEST 2025","failed","Sat Aug 23 03:21:35 EEST 2025","STAGING Guest user front-end test","Globe\globeAutomationTest.spec.js","",""
"","13922","Verify navigation bar links and interactions","chromium","Tue May 13 18:57:43 EEST 2025","passed","Tue May 13 18:57:57 EEST 2025","Guest user front-end test","Meiner\MEINER_autoamtedTest.spec.js","",""
"","13383","Verify footer links and objects","chromium","Tue May 13 18:31:10 EEST 2025","passed","Tue May 13 18:31:24 EEST 2025","PACTION Guest user front-end test","Paction\PACTION_automatedTest.spec.js","",""
"","18851","Add/Remove to Favorites Test","chromium","Tue May 13 18:34:00 EEST 2025","passed","Tue May 13 18:34:19 EEST 2025","PACTION Librarian user front-end test","Paction\PACTION_automatedTest.spec.js","",""
"","49440","Verify content in the Navigation Bar","chromium","Tue May 13 18:30:18 EEST 2025","passed","Tue May 13 18:31:08 EEST 2025","PACTION Guest user front-end test","Paction\PACTION_automatedTest.spec.js","",""
"","27437","Verify search Functionality","chromium","Tue May 13 19:01:30 EEST 2025","passed","Tue May 13 19:01:58 EEST 2025","Guest user front-end test","Meiner\MEINER_autoamtedTest.spec.js","",""
"","18126","Librarian Homepage view Test","chromium","Tue May 13 18:33:26 EEST 2025","passed","Tue May 13 18:33:44 EEST 2025","PACTION Librarian user front-end test","Paction\PACTION_automatedTest.spec.js","",""
"","138936","Verify reading and downloading Open Access books/articles","chromium","Tue May 13 18:59:09 EEST 2025","failed","Tue May 13 19:01:28 EEST 2025","Guest user front-end test","Meiner\MEINER_autoamtedTest.spec.js","",""
